"x"
"ENSMUSG00000034613"
"ENSMUSG00000110779"
"ENSMUSG00000096054"
"ENSMUSG00000009647"
"ENSMUSG00000035863"
"ENSMUSG00000003348"
"ENSMUSG00000034612"
"ENSMUSG00000047712"
"ENSMUSG00000019951"
"ENSMUSG00000050965"
"ENSMUSG00000048442"
"ENSMUSG00000046605"
"ENSMUSG00000078970"
"ENSMUSG00000033015"
"ENSMUSG00000056598"
"ENSMUSG00000037992"
"ENSMUSG00000113679"
"ENSMUSG00000064717"
"ENSMUSG00000113246"
"ENSMUSG00000113059"
"ENSMUSG00000020628"
"ENSMUSG00000113092"
"ENSMUSG00000056899"
"ENSMUSG00000020640"
"ENSMUSG00000112605"
"ENSMUSG00000019726"
"ENSMUSG00000061615"
"ENSMUSG00000062248"
"ENSMUSG00000058900"
"ENSMUSG00000116646"
"ENSMUSG00000021537"
"ENSMUSG00000115821"
"ENSMUSG00000041765"
"ENSMUSG00000114794"
"ENSMUSG00000114769"
"ENSMUSG00000114539"
"ENSMUSG00000040640"
"ENSMUSG00000037824"
"ENSMUSG00000022051"
"ENSMUSG00000087144"
"ENSMUSG00000009575"
"ENSMUSG00000022272"
"ENSMUSG00000043556"
"ENSMUSG00000065312"
"ENSMUSG00000022311"
"ENSMUSG00000063727"
"ENSMUSG00000079020"
"ENSMUSG00000118581"
"ENSMUSG00000061751"
"ENSMUSG00000047746"
"ENSMUSG00000036292"
"ENSMUSG00000035258"
"ENSMUSG00000022864"
"ENSMUSG00000039851"
"ENSMUSG00000116851"
"ENSMUSG00000002617"
"ENSMUSG00000117035"
"ENSMUSG00000024052"
"ENSMUSG00000001870"
"ENSMUSG00000042680"
"ENSMUSG00000117456"
"ENSMUSG00000103255"
"ENSMUSG00000118015"
"ENSMUSG00000024501"
"ENSMUSG00000024236"
"ENSMUSG00000024511"
"ENSMUSG00000060534"
"ENSMUSG00000052928"
"ENSMUSG00000034028"
"ENSMUSG00000024696"
"ENSMUSG00000024713"
"ENSMUSG00000024726"
"ENSMUSG00000024998"
"ENSMUSG00000025217"
"ENSMUSG00000088585"
"ENSMUSG00000026380"
"ENSMUSG00000048402"
"ENSMUSG00000100037"
"ENSMUSG00000101795"
"ENSMUSG00000032487"
"ENSMUSG00000033557"
"ENSMUSG00000026586"
"ENSMUSG00000085125"
"ENSMUSG00000093064"
"ENSMUSG00000026622"
"ENSMUSG00000026638"
"ENSMUSG00000025902"
"ENSMUSG00000101151"
"ENSMUSG00000026185"
"ENSMUSG00000026235"
"ENSMUSG00000026248"
"ENSMUSG00000100580"
"ENSMUSG00000100518"
"ENSMUSG00000026335"
"ENSMUSG00000083697"
"ENSMUSG00000068205"
"ENSMUSG00000086509"
"ENSMUSG00000017929"
"ENSMUSG00000027518"
"ENSMUSG00000039155"
"ENSMUSG00000039787"
"ENSMUSG00000050530"
"ENSMUSG00000026657"
"ENSMUSG00000085591"
"ENSMUSG00000002107"
"ENSMUSG00000027035"
"ENSMUSG00000059173"
"ENSMUSG00000051329"
"ENSMUSG00000042035"
"ENSMUSG00000104639"
"ENSMUSG00000033721"
"ENSMUSG00000053965"
"ENSMUSG00000058897"
"ENSMUSG00000028163"
"ENSMUSG00000028159"
"ENSMUSG00000106540"
"ENSMUSG00000059921"
"ENSMUSG00000028184"
"ENSMUSG00000089149"
"ENSMUSG00000002428"
"ENSMUSG00000063887"
"ENSMUSG00000039286"
"ENSMUSG00000069072"
"ENSMUSG00000027799"
"ENSMUSG00000033767"
"ENSMUSG00000004897"
"ENSMUSG00000028150"
"ENSMUSG00000084215"
"ENSMUSG00000061887"
"ENSMUSG00000034762"
"ENSMUSG00000092848"
"ENSMUSG00000077701"
"ENSMUSG00000077397"
"ENSMUSG00000003282"
"ENSMUSG00000028362"
"ENSMUSG00000028373"
"ENSMUSG00000080815"
"ENSMUSG00000084833"
"ENSMUSG00000065745"
"ENSMUSG00000028565"
"ENSMUSG00000052848"
"ENSMUSG00000029673"
"ENSMUSG00000079111"
"ENSMUSG00000018001"
"ENSMUSG00000039474"
"ENSMUSG00000105663"
"ENSMUSG00000040537"
"ENSMUSG00000029245"
"ENSMUSG00000006262"
"ENSMUSG00000029370"
"ENSMUSG00000105257"
"ENSMUSG00000057604"
"ENSMUSG00000030231"
"ENSMUSG00000085785"
"ENSMUSG00000068250"
"ENSMUSG00000029670"
"ENSMUSG00000051956"
"ENSMUSG00000057716"
"ENSMUSG00000025889"
"ENSMUSG00000056305"
"ENSMUSG00000055799"
"ENSMUSG00000107931"
"ENSMUSG00000030062"
"ENSMUSG00000041836"
"ENSMUSG00000109703"
"ENSMUSG00000062300"
"ENSMUSG00000054342"
"ENSMUSG00000038973"
"ENSMUSG00000108411"
"ENSMUSG00000046179"
"ENSMUSG00000052040"
"ENSMUSG00000030510"
"ENSMUSG00000030559"
"ENSMUSG00000097585"
"ENSMUSG00000061119"
"ENSMUSG00000031901"
"ENSMUSG00000034416"
"ENSMUSG00000034330"
"ENSMUSG00000049577"
"ENSMUSG00000071176"
"ENSMUSG00000110236"
"ENSMUSG00000109448"
"ENSMUSG00000031605"
"ENSMUSG00000045333"
"ENSMUSG00000031659"
"ENSMUSG00000110905"
"ENSMUSG00000079227"
"ENSMUSG00000050912"
"ENSMUSG00000111717"
"ENSMUSG00000032263"
"ENSMUSG00000037410"
